company,location,tag,gender,yoe_total,tc,base,country,state
Facebook,"New York, NY",iOS,Male,10.0,560000.0,215000.0,United States,New York
Goldman Sachs,"Bengaluru, KA, India",ML / AI,Male,10.0,83000.0,61000.0,India,Karnataka
Uber,"San Francisco, CA",Web Development (Front-End),Male,8.0,401000.0,195000.0,United States,California
Apple,"Cupertino, CA",iOS,Male,4.0,219000.0,137000.0,United States,California
Microsoft,"Seattle, WA",Distributed Systems (Back-End),Male,6.0,227000.0,150000.0,United States,Washington
Oracle,"Hyderabad, TS, India",Full Stack,Male,0.0,28000.0,18000.0,India,Telangana
Oracle,"Redwood City, CA",Distributed Systems (Back-End),Male,13.0,200000.0,165000.0,United States,California
Microsoft,"Redmond, WA",Distributed Systems (Back-End),Male,4.0,205000.0,146000.0,United States,Washington
Google,"Los Angeles, CA",API Development (Back-End),Male,2.0,243000.0,125000.0,United States,California
Oracle,"Santa Clara, CA",Distributed Systems (Back-End),Male,4.0,220000.0,145000.0,United States,California
Google,"Mountain View, CA",Android,Male,1.0,207000.0,129000.0,United States,California
Facebook,"Menlo Park, CA",Full Stack,Male,0.0,273000.0,118000.0,United States,California
Lyft,"San Francisco, CA",Full Stack,Male,0.0,250000.0,130000.0,United States,California
Amazon,"North Reading, MA",Testing (SDET),Male,3.0,150000.0,115000.0,United States,Massachusetts
Microsoft,"Redmond, WA",API Development (Back-End),Male,5.0,197000.0,145000.0,United States,Washington
Uber,"Seattle, WA",Distributed Systems (Back-End),Male,4.0,274000.0,162000.0,United States,Washington
Amazon,"San Francisco, CA",Distributed Systems (Back-End),Male,3.0,202000.0,152000.0,United States,California
Google,"San Francisco, CA",Web Development (Front-End),Male,5.0,217000.0,141000.0,United States,California
Amazon,"London, EN, United Kingdom",Full Stack,Male,3.0,87000.0,61000.0,United Kingdom,England
Google,"Pittsburgh, PA",Machine Learning,Female,12.0,247000.0,139000.0,United States,Pennsylvania
Facebook,"Menlo Park, CA",API Development (Back-End),Female,0.0,264000.0,160000.0,United States,California
Google,"San Francisco, CA",Web Development (Front-End),Male,1.0,193000.0,131000.0,United States,California
Amazon,"Minneapolis, MN",Distributed Systems (Back-End),Male,7.0,273000.0,160000.0,United States,Minnesota
Amazon,"Seattle, WA",API Development (Back-End),Male,3.0,186000.0,142000.0,United States,Washington
Google,"Sunnyvale, CA",API Development (Back-End),Male,0.0,165000.0,120000.0,United States,California
Apple,"San Diego, CA",DevOps,Male,0.0,158000.0,120000.0,United States,California
Amazon,"Seattle, WA",API Development (Back-End),Male,4.0,183000.0,151000.0,United States,Washington
Google,"New York, NY",Full Stack,Male,2.0,215000.0,137000.0,United States,New York
Cisco,"Boston, MA",Distributed Systems (Back-End),Male,10.0,350000.0,170000.0,United States,Massachusetts
Facebook,"Washington, DC",Full Stack,Male,0.0,158000.0,114000.0,United States,District of Columbia
Google,"Mountain View, CA",ML / AI,Male,0.0,217000.0,130000.0,United States,California
Amazon,"Seattle, WA",Full Stack,Male,3.0,180000.0,129000.0,United States,Washington
Amazon,"Seattle, WA",API Development (Back-End),Female,2.0,149000.0,117000.0,United States,Washington
Oracle,"Santa Clara, CA",API Development (Back-End),Female,2.0,178000.0,123000.0,United States,California
Amazon,"San Francisco, CA",API Development (Back-End),Male,0.0,178000.0,128000.0,United States,California
Google,"Tel Aviv, TA, Israel",Android,Male,15.0,178000.0,125000.0,Israel,Tel Aviv District
Google,"Sunnyvale, CA",Distributed Systems (Back-End),Male,0.0,175000.0,127000.0,United States,California
Google,"San Francisco, CA",Android,Female,4.0,297000.0,178000.0,United States,California
Google,"Mountain View, CA",SRE,Male,2.0,199000.0,138000.0,United States,California
Microsoft,"Hyderabad, TS, India",Distributed Systems (Back-End),Male,0.0,27000.0,18000.0,India,Telangana
Amazon,"Seattle, WA",API Development (Back-End),Male,0.0,142000.0,112000.0,United States,Washington
Microsoft,"Bellevue, WA",Full Stack,Female,2.0,185000.0,125000.0,United States,Washington
Amazon,"Cupertino, CA",Mobile (iOS + Android),Female,4.0,237000.0,163000.0,United States,California
Amazon,"Seattle, WA",Full Stack,Male,9.0,225000.0,144000.0,United States,Washington
Amazon,"Seattle, WA",Distributed Systems (Back-End),Male,19.0,540000.0,160000.0,United States,Washington
Lyft,"Palo Alto, CA",ML / AI,Male,15.0,425000.0,205000.0,United States,California
IBM,"Poughkeepsie, NY",Full Stack,Male,1.0,98000.0,88000.0,United States,New York
Microsoft,"Seattle, WA",Full Stack,Male,4.0,187000.0,137000.0,United States,Washington
Microsoft,"Bangalore, KA, India",ML / AI,Male,2.0,34000.0,22000.0,India,Karnataka
Amazon,"Seattle, WA",Distributed Systems (Back-End),Male,10.0,360000.0,160000.0,United States,Washington
Amazon,"Seattle, WA",API Development (Back-End),Female,7.0,174000.0,142000.0,United States,Washington
Uber,"San Francisco, CA",Web Development (Front-End),Female,3.0,178000.0,137000.0,United States,California
Microsoft,"Seattle, WA",Full Stack,Female,2.0,205000.0,125000.0,United States,Washington
Goldman Sachs,"New York, NY",API Development (Back-End),Female,3.0,180000.0,130000.0,United States,New York
Amazon,"Tempe, AZ",API Development (Back-End),Male,8.0,238000.0,158000.0,United States,Arizona
Microsoft,"Redmond, WA",API Development (Back-End),Male,4.0,192000.0,152000.0,United States,Washington
Google,"Mountain View, CA",API Development (Back-End),Male,5.0,259000.0,150000.0,United States,California
Qualcomm,"San Diego, CA",Android,Male,2.0,139000.0,105000.0,United States,California
Amazon,"Seattle, WA",Distributed Systems (Back-End),Male,2.0,139000.0,108000.0,United States,Washington
Facebook,"Menlo Park, CA",iOS,Male,0.0,168000.0,118000.0,United States,California
Google,"San Francisco, CA",Web Development (Front-End),Male,6.0,289000.0,164000.0,United States,California
IBM,"Poughkeepsie, NY",Distributed Systems (Back-End),Female,19.0,167000.0,167000.0,United States,New York
Uber,"San Francisco, CA",API Development (Back-End),Male,8.0,360000.0,202000.0,United States,California
Amazon,"Bangalore, KA, India",Full Stack,Male,11.0,196000.0,104000.0,India,Karnataka
Google,"Mountain View, CA",API Development (Back-End),Male,8.0,280000.0,178000.0,United States,California
Amazon,"Seattle, WA",Full Stack,Male,8.0,271000.0,160000.0,United States,Washington
Salesforce,"Tampa, FL",DevOps,Male,18.0,175000.0,140000.0,United States,Florida
Amazon,"Seattle, WA",API Development (Back-End),Male,6.0,244000.0,129000.0,United States,Washington
Facebook,"Seattle, WA",Full Stack,Male,2.0,226000.0,150000.0,United States,Washington
Amazon,"London, EN, United Kingdom",ML / AI,Male,4.0,124917.0,65000.0,United Kingdom,England
IBM,"Stuttgart, BW, Germany",DevOps,Male,0.0,67309.0,67000.0,Germany,Baden-Württemberg
Google,"New York, NY",Web Development (Front-End),Male,1.0,167000.0,138000.0,United States,New York
Amazon,"Seattle, WA",Distributed Systems (Back-End),Male,10.0,260000.0,160000.0,United States,Washington
Amazon,"Seattle, WA",Distributed Systems (Back-End),Male,25.0,244000.0,140000.0,United States,Washington
Google,"Seattle, WA",Android,Male,7.0,291000.0,156000.0,United States,Washington
Apple,"San Diego, CA",iOS,Male,8.0,134000.0,99000.0,United States,California
Apple,"Cupertino, CA",Testing (SDET),Male,8.0,270000.0,180000.0,United States,California
Qualcomm,"San Diego, CA",Mobile (iOS + Android),Male,3.0,111000.0,100000.0,United States,California
Microsoft,"Redmond, WA",Full Stack,Male,0.0,164000.0,110000.0,United States,Washington
Goldman Sachs,"Bengaluru, KA, India",Distributed Systems (Back-End),Male,5.0,72000.0,40000.0,India,Karnataka
JPMorgan Chase,"New York, NY",data engineer,Male,13.0,360000.0,225000.0,United States,New York
Qualcomm,"San Diego, CA",fw,Male,6.0,175000.0,130000.0,United States,California
Google,"Seattle, WA",Web Development (Front-End),Male,4.0,324000.0,164000.0,United States,Washington
Oracle,"Seattle, WA",Full Stack,Male,6.0,188000.0,147000.0,United States,Washington
Google,"Seattle, WA",Android,Male,11.0,223000.0,138000.0,United States,Washington
Goldman Sachs,"Jersey City, NJ",Distributed Systems (Back-End),Male,6.0,230000.0,180000.0,United States,New Jersey
Facebook,"Seattle, WA",Full Stack,Male,7.0,327000.0,183000.0,United States,Washington
Microsoft,"Bellevue, WA",Full Stack,Male,7.0,200000.0,160000.0,United States,Washington
Amazon,"Bangalore, KA, India",Distributed Systems (Back-End),Female,4.0,64000.0,36000.0,India,Karnataka
Amazon,"Seattle, WA",API Development (Back-End),Male,3.0,200000.0,135000.0,United States,Washington
